phase,scheduler,n_ues,spatial,traffic,run_id,cell_throughput_mbps,jain_index,mean_delay_ms,plr,n_ues_active,n_ues_total
phase2_group_a,bet,40,clustered,homogeneous,17,5.9404,0.998847,5.0199,0.032063,40,40
phase2_group_a,bet,40,clustered,homogeneous,18,5.827,0.998503,4.936,0.034217,40,40
phase2_group_a,bet,40,clustered,homogeneous,19,6.4178,0.998804,4.8933,0.031271,40,40
phase2_group_a,bet,40,clustered,homogeneous,20,5.7572,0.998449,4.9287,0.034391,40,40
phase2_group_a,bet,10,uniform,homogeneous,1,4.2821,0.999757,4.9268,0.027003,10,10
phase2_group_a,bet,10,uniform,homogeneous,2,5.4181,0.999757,4.8833,0.020346,10,10
phase2_group_a,bet,10,uniform,homogeneous,3,4.475,0.99982,4.9117,0.024861,10,10
phase2_group_a,bet,10,uniform,homogeneous,4,4.0586,0.999778,4.9573,0.02833,10,10
phase2_group_a,bet,10,uniform,homogeneous,5,3.9988,0.99976,4.9739,0.028339,10,10
phase2_group_a,bet,10,uniform,homogeneous,6,4.9522,0.999793,4.8802,0.022454,10,10
phase2_group_a,bet,10,uniform,homogeneous,7,7.3946,0.999916,4.6252,0.013306,10,10
phase2_group_a,bet,10,uniform,homogeneous,8,4.7878,0.999841,4.9156,0.022769,10,10
phase2_group_a,bet,10,uniform,homogeneous,9,4.5905,0.999745,4.8838,0.02508,10,10
phase2_group_a,bet,10,uniform,homogeneous,10,5.9708,0.999719,4.6928,0.017846,10,10
phase2_group_a,bet,10,uniform,homogeneous,11,5.172,0.99991,4.9135,0.021202,10,10
phase2_group_a,bet,10,uniform,homogeneous,12,5.0904,0.999871,4.9223,0.022702,10,10
phase2_group_a,bet,10,uniform,homogeneous,13,3.7988,0.999687,4.9283,0.031006,10,10
phase2_group_a,bet,10,uniform,homogeneous,14,5.4091,0.999761,4.7308,0.019945,10,10
phase2_group_a,bet,10,uniform,homogeneous,15,5.5842,0.999956,4.913,0.019677,10,10
phase2_group_a,bet,10,uniform,homogeneous,16,5.9038,0.999864,4.7965,0.018956,10,10
phase2_group_a,bet,10,uniform,homogeneous,17,3.8722,0.999781,4.9443,0.02739,10,10
phase2_group_a,bet,10,uniform,homogeneous,18,4.0595,0.99981,4.9783,0.027984,10,10
phase2_group_a,bet,10,uniform,homogeneous,19,4.0406,0.999716,4.9582,0.02906,10,10
phase2_group_a,bet,10,uniform,homogeneous,20,5.4848,0.999907,4.8844,0.019806,10,10
phase2_group_a,bet,20,uniform,homogeneous,1,3.7318,0.999572,5.1459,0.038299,20,20
phase2_group_a,bet,20,uniform,homogeneous,2,5.0548,0.999638,5.0511,0.028251,20,20
phase2_group_a,bet,20,uniform,homogeneous,3,5.2464,0.999598,4.9867,0.027324,20,20
phase2_group_a,bet,20,uniform,homogeneous,4,4.0347,0.999812,5.1789,0.035647,20,20
phase2_group_a,bet,20,uniform,homogeneous,5,3.6954,0.999775,5.166,0.037471,20,20
phase2_group_a,bet,20,uniform,homogeneous,6,4.9677,0.999618,5.0575,0.028734,20,20
phase2_group_a,bet,20,uniform,homogeneous,7,5.3441,0.999629,4.9712,0.026735,20,20
phase2_group_a,bet,20,uniform,homogeneous,8,4.4433,0.99973,5.1218,0.031862,20,20
phase2_group_a,bet,20,uniform,homogeneous,9,3.9761,0.999565,5.1199,0.036381,20,20
phase2_group_a,bet,20,uniform,homogeneous,10,4.8848,0.99954,5.0091,0.029297,20,20
phase2_group_a,bet,20,uniform,homogeneous,11,4.3224,0.999626,5.0965,0.034338,20,20
phase2_group_a,bet,20,uniform,homogeneous,12,3.6243,0.999563,5.1314,0.040977,20,20
phase2_group_a,bet,20,uniform,homogeneous,13,3.7134,0.999637,5.1417,0.039034,20,20
phase2_group_a,bet,20,uniform,homogeneous,14,3.9819,0.999321,5.0461,0.034753,20,20
phase2_group_a,bet,20,uniform,homogeneous,15,4.2394,0.999653,5.1739,0.035714,20,20
phase2_group_a,bet,20,uniform,homogeneous,16,4.6605,0.999528,4.9855,0.032609,20,20
phase2_group_a,bet,20,uniform,homogeneous,17,3.4444,0.999254,5.051,0.041339,20,20
phase2_group_a,bet,20,uniform,homogeneous,18,4.1088,0.999786,5.1799,0.0341,20,20
phase2_group_a,bet,20,uniform,homogeneous,19,4.1092,0.999347,5.0167,0.035552,20,20
phase2_group_a,bet,20,uniform,homogeneous,20,4.7229,0.999601,5.0646,0.032126,20,20
phase2_group_a,bet,40,uniform,homogeneous,1,3.745,0.99826,5.3012,0.047612,40,40
